Date : 2026-04-08 15:01:45
Directory : d:\workshops\eShop
Total : 821 files,  56337 codes, 1671 comments, 6996 blanks, all 65004 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| XML                |         89 |     23,315 |         73 |        211 |     23,599 |
| C#                 |        527 |     19,868 |        981 |      5,058 |     25,907 |
| JSON               |         45 |      4,107 |          9 |         26 |      4,142 |
| PostCSS            |         30 |      3,071 |        319 |        634 |      4,024 |
| XAML               |         25 |      2,015 |        134 |        148 |      2,297 |
| ASP.NET Razor      |         58 |      1,947 |         14 |        284 |      2,245 |
| Markdown           |         17 |      1,186 |          0 |        522 |      1,708 |
| YAML               |         11 |        488 |         89 |         28 |        605 |
| PowerShell         |          4 |        160 |          1 |         34 |        195 |
| TypeScript         |          5 |         93 |         44 |         30 |        167 |
| Mermaid Radar      |          1 |         47 |          0 |          7 |         54 |
| JavaScript         |          6 |         18 |          7 |          7 |         32 |
| HTML               |          1 |         18 |          0 |          6 |         24 |
| JSON with Comments |          1 |          3 |          0 |          0 |          3 |
| censitive          |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        821 |     56,337 |      1,671 |      6,996 |     65,004 |
| . (Files)                                                                                                                                           |         17 |      1,024 |         66 |        254 |      1,344 |
| .aspire                                                                                                                                             |          1 |          3 |          0 |          0 |          3 |
| .bmad-viewer                                                                                                                                        |          1 |         15 |          0 |          0 |         15 |
| .config                                                                                                                                             |          4 |        239 |         83 |          3 |        325 |
| .devcenter                                                                                                                                          |          1 |          1 |          0 |          1 |          2 |
| .devcenter\catalog                                                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| .devcenter\catalog\definitions                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| .github                                                                                                                                             |         10 |        273 |          4 |         30 |        307 |
| .github (Files)                                                                                                                                     |          1 |         61 |          0 |          2 |         63 |
| .github\instructions                                                                                                                                |          4 |         68 |          0 |         12 |         80 |
| .github\workflows                                                                                                                                   |          5 |        144 |          4 |         16 |        164 |
| bootcamp-eShop                                                                                                                                      |         10 |      1,097 |          0 |        292 |      1,389 |
| build                                                                                                                                               |          4 |        160 |          1 |         34 |        195 |
| build\acr-build                                                                                                                                     |          1 |         30 |          0 |          4 |         34 |
| build\local                                                                                                                                         |          2 |        109 |          1 |         25 |        135 |
| build\multiarch-manifests                                                                                                                           |          1 |         21 |          0 |          5 |         26 |
| e2e                                                                                                                                                 |          4 |         50 |          1 |         20 |         71 |
| src                                                                                                                                                 |        729 |     51,259 |      1,363 |      5,866 |     58,488 |
| src\Basket.API                                                                                                                                      |         15 |        290 |          6 |         80 |        376 |
| src\Basket.API (Files)                                                                                                                              |          5 |         65 |          0 |         14 |         79 |
| src\Basket.API\Extensions                                                                                                                           |          2 |         28 |          0 |         11 |         39 |
| src\Basket.API\Grpc                                                                                                                                 |          1 |         91 |          0 |         21 |        112 |
| src\Basket.API\IntegrationEvents                                                                                                                    |          2 |         15 |          3 |          6 |         24 |
| src\Basket.API\IntegrationEvents\EventHandling                                                                                                      |          1 |         13 |          0 |          4 |         17 |
| src\Basket.API\IntegrationEvents\Events                                                                                                             |          1 |          2 |          3 |          2 |          7 |
| src\Basket.API\Model                                                                                                                                |          2 |         31 |          0 |         10 |         41 |
| src\Basket.API\Properties                                                                                                                           |          1 |         13 |          0 |          0 |         13 |
| src\Basket.API\Repositories                                                                                                                         |          2 |         47 |          3 |         18 |         68 |
| src\Catalog.API                                                                                                                                     |         46 |      4,482 |         96 |        443 |      5,021 |
| src\Catalog.API (Files)                                                                                                                             |          9 |      2,153 |          6 |         25 |      2,184 |
| src\Catalog.API\Apis                                                                                                                                |          1 |        353 |         13 |         57 |        423 |
| src\Catalog.API\Extensions                                                                                                                          |          2 |         47 |          7 |         13 |         67 |
| src\Catalog.API\Infrastructure                                                                                                                      |         13 |        823 |         26 |        236 |      1,085 |
| src\Catalog.API\Infrastructure (Files)                                                                                                              |          2 |         91 |          7 |         18 |        116 |
| src\Catalog.API\Infrastructure\EntityConfigurations                                                                                                 |          3 |         40 |          0 |         13 |         53 |
